2010-05-29;213;7;29;5;2010
2010-05-30;3;1;30;5;2010
2010-05-31;27110;2;31;5;2010
2010-06-01;27339;3;1;6;2010
2010-06-02;26725;4;2;6;2010
2010-06-03;21594;5;3;6;2010
2010-06-04;31160;6;4;6;2010
2010-06-05;18;7;5;6;2010
2010-06-06;NULL;1;6;6;2010
2010-06-07;32358;2;7;6;2010
2010-06-08;27377;3;8;6;2010
2010-06-09;29964;4;9;6;2010
2010-06-10;29568;5;10;6;2010
2010-06-11;23983;6;11;6;2010
2010-06-12;5;7;12;6;2010
2010-06-13;3;1;13;6;2010
2010-06-14;26865;2;14;6;2010
2010-06-15;28448;3;15;6;2010
2010-06-16;30136;4;16;6;2010
2010-06-17;25356;5;17;6;2010
2010-06-18;23610;6;18;6;2010
2010-06-19;6;7;19;6;2010
2010-06-20;NULL;1;20;6;2010
2010-06-21;29259;2;21;6;2010
2010-06-22;27311;3;22;6;2010
2010-06-23;26544;4;23;6;2010
2010-06-24;19030;5;24;6;2010
2010-06-25;21456;6;25;6;2010
2010-06-26;4;7;26;6;2010
2010-06-27;NULL;1;27;6;2010
2010-06-28;32440;2;28;6;2010
2010-06-29;26948;3;29;6;2010
2010-06-30;24464;4;30;6;2010
2010-07-01;25058;5;1;7;2010
2010-07-02;24938;6;2;7;2010
2010-07-03;201;7;3;7;2010
2010-07-04;NULL;1;4;7;2010
2010-07-05;28230;2;5;7;2010
2010-07-06;27463;3;6;7;2010
2010-07-07;26011;4;7;7;2010
2010-07-08;26294;5;8;7;2010
2010-07-09;24236;6;9;7;2010
2010-07-10;19;7;10;7;2010
2010-07-11;NULL;1;11;7;2010
2010-07-12;27889;2;12;7;2010
2010-07-13;25349;3;13;7;2010
2010-07-14;26785;4;14;7;2010
2010-07-15;25246;5;15;7;2010
2010-07-16;21930;6;16;7;2010
2010-07-17;8;7;17;7;2010
2010-07-18;3;1;18;7;2010
2010-07-19;25076;2;19;7;2010
2010-07-20;26369;3;20;7;2010
2010-07-21;24806;4;21;7;2010
2010-07-22;24012;5;22;7;2010
2010-07-23;24028;6;23;7;2010
2010-07-24;9;7;24;7;2010
2010-07-25;1;1;25;7;2010
2010-07-26;23952;2;26;7;2010
2010-07-27;23848;3;27;7;2010
2010-07-28;23272;4;28;7;2010
2010-07-29;24517;5;29;7;2010
2010-07-30;20999;6;30;7;2010
2010-07-31;29;7;31;7;2010
2010-08-01;12;1;1;8;2010
2010-08-02;30656;2;2;8;2010
2010-08-03;27053;3;3;8;2010
2010-08-04;28624;4;4;8;2010
2010-08-05;28291;5;5;8;2010
2010-08-06;24136;6;6;8;2010
2010-08-07;9;7;7;8;2010
2010-08-08;NULL;1;8;8;2010
2010-08-09;28424;2;9;8;2010
2010-08-10;26457;3;10;8;2010
2010-08-11;23232;4;11;8;2010
2010-08-12;25753;5;12;8;2010
2010-08-13;20871;6;13;8;2010
2010-08-14;17;7;14;8;2010
2010-08-15;NULL;1;15;8;2010
2010-08-16;15313;2;16;8;2010
2010-08-17;21334;3;17;8;2010
2010-08-18;20581;4;18;8;2010
2010-08-19;22111;5;19;8;2010
2010-08-20;18752;6;20;8;2010
2010-08-21;12;7;21;8;2010
2010-08-22;NULL;1;22;8;2010
2010-08-23;23631;2;23;8;2010
2010-08-24;24695;3;24;8;2010
2010-08-25;26331;4;25;8;2010
2010-08-26;27390;5;26;8;2010
2010-08-27;22069;6;27;8;2010
2010-08-28;182;7;28;8;2010
2010-08-29;2;1;29;8;2010
2010-08-30;27956;2;30;8;2010
2010-08-31;38937;3;31;8;2010
2010-09-01;36251;4;1;9;2010
2010-09-02;38003;5;2;9;2010
2010-09-03;36957;6;3;9;2010
2010-09-04;127;7;4;9;2010
2010-09-05;NULL;1;5;9;2010
2010-09-06;36771;2;6;9;2010
2010-09-07;37792;3;7;9;2010
2010-09-08;35470;4;8;9;2010
2010-09-09;35459;5;9;9;2010
2010-09-10;35620;6;10;9;2010
2010-09-11;55;7;11;9;2010
2010-09-12;4;1;12;9;2010
2010-09-13;37928;2;13;9;2010
2010-09-14;38187;3;14;9;2010
2010-09-15;38930;4;15;9;2010
2010-09-16;38906;5;16;9;2010
2010-09-17;35744;6;17;9;2010
2010-09-18;50;7;18;9;2010
2010-09-19;2;1;19;9;2010
2010-09-20;37244;2;20;9;2010
2010-09-21;41920;3;21;9;2010
2010-09-22;37533;4;22;9;2010
2010-09-23;41541;5;23;9;2010
2010-09-24;32557;6;24;9;2010
2010-09-25;22;7;25;9;2010
2010-09-26;2;1;26;9;2010
2010-09-27;42272;2;27;9;2010
2010-09-28;36749;3;28;9;2010
2010-09-29;24704;4;29;9;2010
2010-09-30;48650;5;30;9;2010
2010-10-01;36598;6;1;10;2010
2010-10-02;506;7;2;10;2010
2010-10-03;5;1;3;10;2010
2010-10-04;40811;2;4;10;2010
2010-10-05;40100;3;5;10;2010
2010-10-06;40869;4;6;10;2010
2010-10-07;41354;5;7;10;2010
2010-10-08;41864;6;8;10;2010
2010-10-09;38;7;9;10;2010
2010-10-10;8;1;10;10;2010
2010-10-11;30241;2;11;10;2010
2010-10-12;179;3;12;10;2010
2010-10-13;42693;4;13;10;2010
2010-10-14;42780;5;14;10;2010
2010-10-15;37618;6;15;10;2010
2010-10-16;209;7;16;10;2010
2010-10-17;2;1;17;10;2010
2010-10-18;40949;2;18;10;2010
2010-10-19;37946;3;19;10;2010
2010-10-20;37549;4;20;10;2010
2010-10-21;38627;5;21;10;2010
2010-10-22;36315;6;22;10;2010
2010-10-23;13;7;23;10;2010
2010-10-24;10;1;24;10;2010
2010-10-25;37916;2;25;10;2010
2010-10-26;42941;3;26;10;2010
2010-10-27;40729;4;27;10;2010
2010-10-28;41568;5;28;10;2010
2010-10-29;33323;6;29;10;2010
2010-10-30;56;7;30;10;2010
2010-10-31;25;1;31;10;2010
2010-11-01;2;2;1;11;2010
2010-11-02;41395;3;2;11;2010
2010-11-03;44430;4;3;11;2010
2010-11-04;50041;5;4;11;2010
2010-11-05;36951;6;5;11;2010
2010-11-06;87;7;6;11;2010
2010-11-07;NULL;1;7;11;2010
2010-11-08;38019;2;8;11;2010
2010-11-09;29199;3;9;11;2010
2010-11-10;41814;4;10;11;2010
2010-11-11;37745;5;11;11;2010
2010-11-12;33841;6;12;11;2010
2010-11-13;21;7;13;11;2010
2010-11-14;NULL;1;14;11;2010
2010-11-15;37120;2;15;11;2010
2010-11-16;40471;3;16;11;2010
2010-11-17;37097;4;17;11;2010
2010-11-18;42391;5;18;11;2010
2010-11-19;34821;6;19;11;2010
2010-11-20;22;7;20;11;2010
2010-11-21;2;1;21;11;2010
2010-11-22;40970;2;22;11;2010
2010-11-23;39883;3;23;11;2010
2010-11-24;41720;4;24;11;2010
2010-11-25;40951;5;25;11;2010
2010-11-26;37385;6;26;11;2010
2010-11-27;76;7;27;11;2010
2010-11-28;5;1;28;11;2010
2010-11-29;37794;2;29;11;2010
2010-11-30;38989;3;30;11;2010
2010-12-01;42559;4;1;12;2010
2010-12-02;45718;5;2;12;2010
2010-12-03;42576;6;3;12;2010
2010-12-04;26;7;4;12;2010
2010-12-05;5;1;5;12;2010
2010-12-06;1521;2;6;12;2010
2010-12-07;34490;3;7;12;2010
2010-12-08;28;4;8;12;2010
2010-12-09;47049;5;9;12;2010
2010-12-10;37633;6;10;12;2010
2010-12-11;141;7;11;12;2010
2010-12-12;1;1;12;12;2010
2010-12-13;43396;2;13;12;2010
2010-12-14;43793;3;14;12;2010
2010-12-15;44757;4;15;12;2010
2010-12-16;45593;5;16;12;2010
2010-12-17;39655;6;17;12;2010
2010-12-18;187;7;18;12;2010
2010-12-19;54;1;19;12;2010
2010-12-20;48127;2;20;12;2010
2010-12-21;47086;3;21;12;2010
2010-12-22;43533;4;22;12;2010
2010-12-23;37378;5;23;12;2010
2010-12-24;17687;6;24;12;2010
2010-12-25;7;7;25;12;2010
2010-12-26;228;1;26;12;2010
2010-12-27;32825;2;27;12;2010
2010-12-28;33172;3;28;12;2010
2010-12-29;33013;4;29;12;2010
2010-12-30;28533;5;30;12;2010
2010-12-31;14196;6;31;12;2010
2011-01-01;1;7;1;1;2011
2011-01-02;224;1;2;1;2011
2011-01-03;28703;2;3;1;2011
2011-01-04;31597;3;4;1;2011
2011-01-05;28013;4;5;1;2011
2011-01-06;95;5;6;1;2011
2011-01-07;22497;6;7;1;2011
2011-01-08;17;7;8;1;2011
2011-01-09;NULL;1;9;1;2011
2011-01-10;34564;2;10;1;2011
2011-01-11;34486;3;11;1;2011
2011-01-12;34101;4;12;1;2011
2011-01-13;37233;5;13;1;2011
2011-01-14;32621;6;14;1;2011
2011-01-15;12;7;15;1;2011
2011-01-16;NULL;1;16;1;2011
